Date,Year,Month,Day,category,Forecasted_Amount,Actual_Amount,SalesAndforecast_difference,PRoduct_Sales_Condition
2023-01-01,2023,January,Sunday,"Coffee Sales",980,954,-26,Below_Forecast
2023-01-01,2023,January,Sunday,"Food Sales",646,703,57,Above_Forecast
2023-01-01,2023,January,Sunday,"Ingredients Cost",457,447,-10,Below_Forecast
2023-01-01,2023,January,Sunday,Labor,182,188,6,Above_Forecast
2023-01-01,2023,January,Sunday,Rent,384,375,-9,Below_Forecast
2023-01-01,2023,January,Sunday,Utilities,489,534,45,Above_Forecast
2023-01-01,2023,January,Sunday,Marketing,125,125,0,Above_Forecast
2023-01-02,2023,January,Monday,"Coffee Sales",910,878,-32,Below_Forecast
2023-01-02,2023,January,Monday,"Food Sales",418,399,-19,Below_Forecast
2023-01-02,2023,January,Monday,"Ingredients Cost",349,352,3,Above_Forecast
2023-01-02,2023,January,Monday,Labor,111,108,-3,Below_Forecast
2023-01-02,2023,January,Monday,Rent,424,392,-32,Below_Forecast
2023-01-02,2023,January,Monday,Utilities,118,119,1,Above_Forecast
2023-01-02,2023,January,Monday,Marketing,395,429,34,Above_Forecast
2023-01-03,2023,January,Tuesday,"Coffee Sales",519,495,-24,Below_Forecast
2023-01-03,2023,January,Tuesday,"Food Sales",743,669,-74,Below_Forecast
2023-01-03,2023,January,Tuesday,"Ingredients Cost",306,317,11,Above_Forecast
2023-01-03,2023,January,Tuesday,Labor,492,474,-18,Below_Forecast
2023-01-03,2023,January,Tuesday,Rent,490,452,-38,Below_Forecast
2023-01-03,2023,January,Tuesday,Utilities,332,316,-16,Below_Forecast
2023-01-03,2023,January,Tuesday,Marketing,343,364,21,Above_Forecast
2023-01-04,2023,January,Wednesday,"Coffee Sales",273,286,13,Above_Forecast
2023-01-04,2023,January,Wednesday,"Food Sales",605,568,-37,Below_Forecast
2023-01-04,2023,January,Wednesday,"Ingredients Cost",398,374,-24,Below_Forecast
2023-01-04,2023,January,Wednesday,Labor,472,481,9,Above_Forecast
2023-01-04,2023,January,Wednesday,Rent,194,203,9,Above_Forecast
2023-01-04,2023,January,Wednesday,Utilities,218,211,-7,Below_Forecast
2023-01-04,2023,January,Wednesday,Marketing,422,409,-13,Below_Forecast
2023-01-05,2023,January,Thursday,"Coffee Sales",297,270,-27,Below_Forecast
2023-01-05,2023,January,Thursday,"Food Sales",546,543,-3,Below_Forecast
2023-01-05,2023,January,Thursday,"Ingredients Cost",405,393,-12,Below_Forecast
2023-01-05,2023,January,Thursday,Labor,331,322,-9,Below_Forecast
2023-01-05,2023,January,Thursday,Rent,209,221,12,Above_Forecast
2023-01-05,2023,January,Thursday,Utilities,122,109,-13,Below_Forecast
2023-01-05,2023,January,Thursday,Marketing,265,246,-19,Below_Forecast
2023-01-06,2023,January,Friday,"Coffee Sales",404,419,15,Above_Forecast
2023-01-06,2023,January,Friday,"Food Sales",583,601,18,Above_Forecast
2023-01-06,2023,January,Friday,"Ingredients Cost",442,418,-24,Below_Forecast
2023-01-06,2023,January,Friday,Labor,257,240,-17,Below_Forecast
2023-01-06,2023,January,Friday,Rent,210,193,-17,Below_Forecast
2023-01-06,2023,January,Friday,Utilities,485,526,41,Above_Forecast
2023-01-06,2023,January,Friday,Marketing,300,271,-29,Below_Forecast
2023-01-07,2023,January,Saturday,"Coffee Sales",420,439,19,Above_Forecast
2023-01-07,2023,January,Saturday,"Food Sales",327,334,7,Above_Forecast
2023-01-07,2023,January,Saturday,"Ingredients Cost",479,475,-4,Below_Forecast
2023-01-07,2023,January,Saturday,Labor,351,334,-17,Below_Forecast
2023-01-07,2023,January,Saturday,Rent,281,261,-20,Below_Forecast
2023-01-07,2023,January,Saturday,Utilities,141,154,13,Above_Forecast
2023-01-07,2023,January,Saturday,Marketing,497,529,32,Above_Forecast
2023-01-08,2023,January,Sunday,"Coffee Sales",212,224,12,Above_Forecast
2023-01-08,2023,January,Sunday,"Food Sales",428,395,-33,Below_Forecast
2023-01-08,2023,January,Sunday,"Ingredients Cost",279,264,-15,Below_Forecast
2023-01-08,2023,January,Sunday,Labor,340,339,-1,Below_Forecast
2023-01-08,2023,January,Sunday,Rent,184,189,5,Above_Forecast
2023-01-08,2023,January,Sunday,Utilities,301,328,27,Above_Forecast
2023-01-08,2023,January,Sunday,Marketing,489,525,36,Above_Forecast
2023-01-09,2023,January,Monday,"Coffee Sales",956,1000,44,Above_Forecast
2023-01-09,2023,January,Monday,"Food Sales",968,872,-96,Below_Forecast
2023-01-09,2023,January,Monday,"Ingredients Cost",164,179,15,Above_Forecast
2023-01-09,2023,January,Monday,Labor,417,454,37,Above_Forecast
2023-01-09,2023,January,Monday,Rent,291,311,20,Above_Forecast
2023-01-09,2023,January,Monday,Utilities,163,155,-8,Below_Forecast
2023-01-09,2023,January,Monday,Marketing,120,128,8,Above_Forecast
2023-01-10,2023,January,Tuesday,"Coffee Sales",700,642,-58,Below_Forecast
2023-01-10,2023,January,Tuesday,"Food Sales",389,384,-5,Below_Forecast
2023-01-10,2023,January,Tuesday,"Ingredients Cost",153,151,-2,Below_Forecast
2023-01-10,2023,January,Tuesday,Labor,148,156,8,Above_Forecast
2023-01-10,2023,January,Tuesday,Rent,340,370,30,Above_Forecast
2023-01-10,2023,January,Tuesday,Utilities,103,98,-5,Below_Forecast
2023-01-10,2023,January,Tuesday,Marketing,294,307,13,Above_Forecast
2023-01-11,2023,January,Wednesday,"Coffee Sales",452,444,-8,Below_Forecast
2023-01-11,2023,January,Wednesday,"Food Sales",971,896,-75,Below_Forecast
2023-01-11,2023,January,Wednesday,"Ingredients Cost",355,367,12,Above_Forecast
2023-01-11,2023,January,Wednesday,Labor,500,529,29,Above_Forecast
2023-01-11,2023,January,Wednesday,Rent,185,200,15,Above_Forecast
2023-01-11,2023,January,Wednesday,Utilities,320,323,3,Above_Forecast
2023-01-11,2023,January,Wednesday,Marketing,468,488,20,Above_Forecast
2023-01-12,2023,January,Thursday,"Coffee Sales",945,972,27,Above_Forecast
2023-01-12,2023,January,Thursday,"Food Sales",300,277,-23,Below_Forecast
2023-01-12,2023,January,Thursday,"Ingredients Cost",360,355,-5,Below_Forecast
2023-01-12,2023,January,Thursday,Labor,412,392,-20,Below_Forecast
2023-01-12,2023,January,Thursday,Rent,239,235,-4,Below_Forecast
2023-01-12,2023,January,Thursday,Utilities,288,312,24,Above_Forecast
2023-01-12,2023,January,Thursday,Marketing,372,387,15,Above_Forecast
2023-01-13,2023,January,Friday,"Coffee Sales",549,510,-39,Below_Forecast
2023-01-13,2023,January,Friday,"Food Sales",670,628,-42,Below_Forecast
2023-01-13,2023,January,Friday,"Ingredients Cost",176,179,3,Above_Forecast
2023-01-13,2023,January,Friday,Labor,303,314,11,Above_Forecast
2023-01-13,2023,January,Friday,Rent,378,389,11,Above_Forecast
2023-01-13,2023,January,Friday,Utilities,361,366,5,Above_Forecast
2023-01-13,2023,January,Friday,Marketing,259,257,-2,Below_Forecast
2023-01-14,2023,January,Saturday,"Coffee Sales",564,560,-4,Below_Forecast
2023-01-14,2023,January,Saturday,"Food Sales",383,407,24,Above_Forecast
2023-01-14,2023,January,Saturday,"Ingredients Cost",495,528,33,Above_Forecast
2023-01-14,2023,January,Saturday,Labor,126,122,-4,Below_Forecast
2023-01-14,2023,January,Saturday,Rent,256,249,-7,Below_Forecast
2023-01-14,2023,January,Saturday,Utilities,257,264,7,Above_Forecast
2023-01-14,2023,January,Saturday,Marketing,416,434,18,Above_Forecast
2023-01-15,2023,January,Sunday,"Coffee Sales",769,796,27,Above_Forecast
2023-01-15,2023,January,Sunday,"Food Sales",898,970,72,Above_Forecast
2023-01-15,2023,January,Sunday,"Ingredients Cost",362,327,-35,Below_Forecast
2023-01-15,2023,January,Sunday,Labor,313,286,-27,Below_Forecast
2023-01-15,2023,January,Sunday,Rent,119,108,-11,Below_Forecast
2023-01-15,2023,January,Sunday,Utilities,252,246,-6,Below_Forecast
2023-01-15,2023,January,Sunday,Marketing,368,388,20,Above_Forecast
2023-01-16,2023,January,Monday,"Coffee Sales",734,700,-34,Below_Forecast
2023-01-16,2023,January,Monday,"Food Sales",495,489,-6,Below_Forecast
2023-01-16,2023,January,Monday,"Ingredients Cost",476,438,-38,Below_Forecast
2023-01-16,2023,January,Monday,Labor,272,291,19,Above_Forecast
2023-01-16,2023,January,Monday,Rent,200,212,12,Above_Forecast
2023-01-16,2023,January,Monday,Utilities,240,242,2,Above_Forecast
2023-01-16,2023,January,Monday,Marketing,170,172,2,Above_Forecast
2023-01-17,2023,January,Tuesday,"Coffee Sales",714,707,-7,Below_Forecast
2023-01-17,2023,January,Tuesday,"Food Sales",206,206,0,Above_Forecast
2023-01-17,2023,January,Tuesday,"Ingredients Cost",122,127,5,Above_Forecast
2023-01-17,2023,January,Tuesday,Labor,303,324,21,Above_Forecast
2023-01-17,2023,January,Tuesday,Rent,472,493,21,Above_Forecast
2023-01-17,2023,January,Tuesday,Utilities,198,189,-9,Below_Forecast
2023-01-17,2023,January,Tuesday,Marketing,440,481,41,Above_Forecast
2023-01-18,2023,January,Wednesday,"Coffee Sales",596,540,-56,Below_Forecast
2023-01-18,2023,January,Wednesday,"Food Sales",370,391,21,Above_Forecast
2023-01-18,2023,January,Wednesday,"Ingredients Cost",187,174,-13,Below_Forecast
